City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,ambatolampy,-19.3833,47.4167,288.44,90,100,1.32,MG,1712879658
259,port blair,11.6667,92.75,301.17,89,7,0.51,IN,1712879358
260,portage la prairie,49.9728,-98.2926,284.2,50,20,9.26,CA,1712879524
261,lompoc,34.6391,-120.4579,300.25,67,0,4.63,US,1712879415
262,yuzhno-kurilsk,44.0306,145.8556,277.8,76,100,4.59,RU,1712879401
263,shenjiamen,29.9576,122.298,287.12,98,100,3.87,CN,1712879659
264,namibe,-15.1961,12.1522,295.95,71,0,2.12,AO,1712879659
265,vila velha,-20.3297,-40.2925,300.34,84,20,2.06,BR,1712879441
266,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,31,0,4.0,RU,1712879659
267,spring creek,40.7266,-115.5859,294.16,23,2,2.24,US,1712879660
268,n'zeto,-7.2312,12.8666,299.72,83,100,4.05,AO,1712879660
269,pacific grove,36.6177,-121.9166,297.8,74,0,3.6,US,1712879660
270,kodinsk,58.6881,99.1844,267.84,92,100,0.82,RU,1712879660
271,kingston,17.997,-76.7936,302.68,76,20,8.75,JM,1712879126
272,nuku'alofa,-21.1333,-175.2,303.34,74,20,3.09,TO,1712879661
273,olonkinbyen,70.9221,-8.7187,264.83,89,100,7.11,SJ,1712879661
274,kayangel,8.0823,134.7173,301.21,75,74,4.98,PW,1712879384
275,vychegodskiy,61.247,46.8984,279.83,72,97,5.77,RU,1712879661
276,songea,-10.6833,35.65,291.64,98,100,0.15,TZ,1712879661
277,freetown,8.484,-13.2299,298.75,76,36,0.96,SL,1712879661
278,samastipur,25.85,85.7833,296.94,44,4,3.13,IN,1712879661
279,sovetskaya gavan',48.9723,140.2878,285.99,54,36,1.27,RU,1712879661
280,howrah,22.5892,88.3103,298.15,73,75,2.57,IN,1712879661
281,pisco,-13.7,-76.2167,296.18,78,0,8.75,PE,1712879651
282,chinde,26.8418,88.0763,290.33,38,9,3.06,NP,1712879662
283,behshahr,36.6923,53.5526,286.12,92,100,3.22,IR,1712879662
284,kodiak,57.79,-152.4072,274.88,93,100,3.09,US,1712879454
285,vaskelovo,60.3693,30.3534,280.7,93,100,6.49,RU,1712879662
286,hamilton,39.1834,-84.5333,286.84,89,100,10.73,US,1712879656
287,st. john's,47.5649,-52.7093,275.46,82,0,5.14,CA,1712879387
288,sabang,5.8933,95.3214,302.71,73,98,7.3,ID,1712879662
289,tyuratam,45.6507,63.3156,281.21,55,27,7.62,KZ,1712879662
290,vavoua,7.3819,-6.4778,297.79,86,98,1.84,CI,1712879662
291,port sudan,19.6175,37.2164,296.68,60,38,4.63,SD,1712879662
292,la'ie,21.6477,-157.9253,300.13,79,100,6.96,US,1712879662
293,kisangani,0.5167,25.2,296.51,84,89,1.86,CD,1712879663
294,port macquarie,-31.4333,152.9167,295.87,65,1,3.21,AU,1712879663
295,mendi,-6.1761,143.6513,288.53,96,100,0.75,PG,1712879663
296,dadukou,26.5479,101.7054,290.21,43,10,1.25,CN,1712879663
297,shingu,33.7333,135.9833,289.6,70,97,3.82,JP,1712879663
298,maumere,-8.6199,122.2111,300.91,74,64,1.66,ID,1712879663
299,egyek,47.6333,20.9,284.89,79,48,3.21,HU,1712879663
300,galveston,29.3669,-94.9669,300.21,38,0,7.2,US,1712879664
301,copala,16.65,-98.9833,300.3,67,9,2.06,MX,1712879664
302,ambodifotatra,-16.9833,49.85,300.52,86,67,4.34,MG,1712879664
303,quatre cocos,-20.2078,57.7625,299.31,84,8,2.2,MU,1712879664
304,visby,57.6409,18.296,283.17,87,0,9.77,SE,1712879649
305,muromtsevo,56.3724,75.2418,267.14,85,67,2.85,RU,1712879664
306,chai nat,15.1167,100.1,303.18,99,34,3.36,TH,1712879664
307,kiunga,-6.1219,141.2906,296.99,100,100,0.8,PG,1712879664
308,shuangjiang,26.1547,109.7138,291.12,99,100,0.75,CN,1712879665
309,oyotun,-6.8519,-79.3036,300.02,69,60,2.58,PE,1712879665
310,kailua-kona,19.6406,-155.9956,300.53,73,100,2.57,US,1712879390
